Contig	Chromosome
NW_020849129.1	NW_020849129.1
NW_020849130.1	NW_020849130.1
NW_020849131.1	NW_020849131.1
NW_020849132.1	NW_020849132.1
NW_020849133.1	NW_020849133.1
NW_020849134.1	NW_020849134.1
NW_020849135.1	NW_020849135.1
NW_020849136.1	NW_020849136.1
NW_020849137.1	NW_020849137.1
NW_020849138.1	NW_020849138.1
NW_020849139.1	NW_020849139.1
NW_020849140.1	NW_020849140.1
NW_020849141.1	NW_020849141.1
NW_020849142.1	NW_020849142.1
NW_020849143.1	NW_020849143.1
NW_020849144.1	NW_020849144.1
NW_020849145.1	NW_020849145.1
NW_020849146.1	NW_020849146.1
NW_020849147.1	NW_020849147.1
NW_020849148.1	NW_020849148.1
NW_020849149.1	NW_020849149.1
NW_020849150.1	NW_020849150.1
NW_020849151.1	NW_020849151.1
NW_020849152.1	NW_020849152.1
NW_020849153.1	NW_020849153.1
NW_020849154.1	NW_020849154.1
NW_020849155.1	NW_020849155.1
NW_020849156.1	NW_020849156.1
NW_020849157.1	NW_020849157.1
NW_020849158.1	NW_020849158.1
NW_020849159.1	NW_020849159.1
NW_020849160.1	NW_020849160.1
NW_020849161.1	NW_020849161.1
NW_020849162.1	NW_020849162.1
NW_020849163.1	NW_020849163.1
NW_020849164.1	NW_020849164.1
NW_020849165.1	NW_020849165.1
NW_020849166.1	NW_020849166.1
NW_020849167.1	NW_020849167.1
NW_020849168.1	NW_020849168.1
NW_020849169.1	NW_020849169.1
NW_020849170.1	NW_020849170.1
NW_020849171.1	NW_020849171.1
NW_020849172.1	NW_020849172.1
NW_020849173.1	NW_020849173.1
NW_020849174.1	NW_020849174.1
NW_020849175.1	NW_020849175.1
NW_020849176.1	NW_020849176.1
NW_020849177.1	NW_020849177.1
NW_020849178.1	NW_020849178.1
NW_020849179.1	NW_020849179.1
NW_020849180.1	NW_020849180.1
NW_020849181.1	NW_020849181.1
NW_020849182.1	NW_020849182.1
NW_020849183.1	NW_020849183.1
NW_020849184.1	NW_020849184.1
NW_020849185.1	NW_020849185.1
NW_020849186.1	NW_020849186.1
NW_020849187.1	NW_020849187.1
NW_020849188.1	NW_020849188.1
NW_020849189.1	NW_020849189.1
NW_020849190.1	NW_020849190.1
NW_020849191.1	NW_020849191.1
NW_020849192.1	NW_020849192.1
NW_020849193.1	NW_020849193.1
NW_020849194.1	NW_020849194.1
NW_020849195.1	NW_020849195.1
NW_020849196.1	NW_020849196.1
NW_020849197.1	NW_020849197.1
NW_020849198.1	NW_020849198.1
